rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_1fe630988db3e2,entity_1fe630988db3e2aa,reported,reported,Saponin Rb-4,,ginsenoside,,C42H66O14,794.44525680116,,,,,,reported,,chunk_661eba1968728e6c9a27,candidate,Structured compound record mined from local corpus text.
cmp_6d4910967c9844,entity_6d4910967c9844dd,reported,reported,20(R)-Ginsenoside Rg3,,ginsenoside,,C42H72O13,784.49729237497,,,,,,reported,,chunk_661eba1968728e6c9a27;chunk_732606ff740dcd63db0e,candidate,Structured compound record mined from local corpus text.
cmp_cd3edc94e8be6d,entity_cd3edc94e8be6d2d,reported,reported,Pseudoginsenoside RP1,,ginsenoside,,C41H64O13,764.43469211713,,,,,,reported,,chunk_275861491072e21eae27,candidate,Structured compound record mined from local corpus text.
cmp_391817cde8dd45,entity_391817cde8dd4555,reported,reported,Ginsenoside Rs3 isomer,,ginsenoside,,C44H74O14,826.507857059,,,,,,reported,,chunk_275861491072e21eae27;chunk_5e2d15c5c2385a962c91,candidate,Structured compound record mined from local corpus text.
cmp_8b9ae1e8e82229,entity_8b9ae1e8e822294c,reported,reported,20(S)-Ginsenoside Rs3,,ginsenoside,,C44H74O14,826.507857059,,,,,,reported,,chunk_275861491072e21eae27,candidate,Structured compound record mined from local corpus text.
cmp_6fe3a2942d3b05,entity_6fe3a2942d3b054f,reported,reported,Calenduloside E,,ginsenoside,,C36H56O9,632.39243338101,,,,,,reported,,chunk_275861491072e21eae27,candidate,Structured compound record mined from local corpus text.
cmp_256c012fdcd2d9,entity_256c012fdcd2d9f3,reported,reported,20(R)-Ginsenoside Rs3,,ginsenoside,,C44H74O14,826.507857059,,,,,,reported,,chunk_275861491072e21eae27,candidate,Structured compound record mined from local corpus text.
cmp_5a6f325db6364c,entity_5a6f325db6364c33,reported,reported,Ginsenoside Rg5/Rk1,,ginsenoside,,C42H70O12,766.48672769094,,,,,,reported,,chunk_5e2d15c5c2385a962c91,candidate,Structured compound record mined from local corpus text.
cmp_aa2ff9878e2a19,entity_aa2ff9878e2a1924,reported,reported,20(S)-Ginsenoside Rh2,,ginsenoside,,C36H62O8,622.44446895482,,,,,,reported,,chunk_5e2d15c5c2385a962c91;chunk_438d8b4969f95ab1dc9f,candidate,Structured compound record mined from local corpus text.
cmp_888ec826247b0f,entity_888ec826247b0ffb,reported,reported,20(R)-Ginsenoside Rh2,,ginsenoside,,C36H62O8,622.44446895482,,,,,,reported,,chunk_5e2d15c5c2385a962c91;chunk_438d8b4969f95ab1dc9f,candidate,Structured compound record mined from local corpus text.
cmp_8f64d756c20e18,entity_8f64d756c20e18de,reported,reported,Ginsenoside Rs4/Rs5,,ginsenoside,,C44H72O13,808.49729237497,,,,,,reported,,chunk_5e2d15c5c2385a962c91,candidate,Structured compound record mined from local corpus text.
cmp_aaa218acc2a4f6,entity_aaa218acc2a4f6ac,reported,reported,Ginsenoside Rk2/Rh3,,ginsenoside,,C36H60O7,604.43390427079,,,,,,reported,,chunk_c06f66399e366293781e,candidate,Structured compound record mined from local corpus text.
cmp_2885adcc4e7f5c,entity_2885adcc4e7f5c46,reported,reported,ginsenoside Ra1,,ginsenoside,,C58H98O26,1210.63463326736,negative,[M-H]-,1209.6268,1077.5844;1077.5841;945.5413;783.4902;621.4371,,reported,,chunk_aca53f9764a6bda613c7;chunk_5b5b9c43cc41cdca10b4;chunk_7c67bfd36cf430699eb0;claim_struct_a71b9340d469eae6,candidate,Structured compound record mined from local corpus text.
cmp_d09e71bd59bbe9,entity_d09e71bd59bbe9fe,reported,reported,ginsenoside Ra2,,ginsenoside,,C58H98O26,1210.63463326736,negative,[M-H]-,1209.6268,1077.5844;945.5457;783.4891;621.4388;459.3869,,reported,,chunk_aca53f9764a6bda613c7;chunk_664d9641c7a91df44463,candidate,Structured compound record mined from local corpus text.
cmp_07c8a311d6e0ea,entity_07c8a311d6e0ea6e,reported,reported,ginsenoside Ra3,,ginsenoside,,C59H100O27,1240.64519795139,negative,[M-H]-,1239.6374,1107.5947;945.5432;783.4896;621.4371;459.3842,,reported,,chunk_aca53f9764a6bda613c7;chunk_20479ed0255d2bb5fb00,candidate,Structured compound record mined from local corpus text.
cmp_fb308a9bd1ad9a,entity_fb308a9bd1ad9af5,reported,reported,ginsenoside Ra4,,ginsenoside,,C62H102O27,1278.66084801585,negative,[M-H]-,1277.653,1209.6573;1077.5818;945.5376;783.4933,,reported,,chunk_aca53f9764a6bda613c7;chunk_91bcf3554c365a167e59;claim_struct_a6ec41da08953e73;chunk_914daeb1b269c78df30b,candidate,Structured compound record mined from local corpus text.
cmp_2c219d55d133c4,entity_2c219d55d133c455,reported,reported,ginsenoside Ra5,,ginsenoside,,C60H100O27,1252.64519795139,negative,[M-H]-,1251.6374,1077.5898;1077.5972;1209.6232,,reported,,chunk_aca53f9764a6bda613c7;chunk_18f822eeef9be289989a;chunk_2f0c92d4ba6e44b12557;claim_struct_5005c0d24ac7cf25;chunk_9d8e87c18587fd032c9f;claim_struct_cc58d86a83805e8a,candidate,Structured compound record mined from local corpus text.
cmp_f32444a30ca840,entity_f32444a30ca840e5,reported,reported,ginsenoside Ra6,,ginsenoside,,C58H96O24,1176.62915396376,negative,[M-H]-,1175.6213,1107.5961;945.5278;783.4851;621.4348;459.3815,,reported,,chunk_7aabccc130b0b1b8a1af;chunk_f2cd48eb184490766ebe,candidate,Structured compound record mined from local corpus text.
cmp_915c6823b2b642,entity_915c6823b2b64240,reported,reported,ginsenoside Ra7,,ginsenoside,,C57H94O23,1146.61858927973,negative,[M-H]-,1145.6108,,,reported,,chunk_7aabccc130b0b1b8a1af,candidate,Structured compound record mined from local corpus text.
cmp_422d9d229be79b,entity_422d9d229be79b6e,reported,reported,ginsenoside Ra8,,ginsenoside,,C57H94O23,1146.61858927973,negative,[M-H]-,1145.6108,,,reported,,chunk_7aabccc130b0b1b8a1af,candidate,Structured compound record mined from local corpus text.
cmp_fb8d4fbdec955b,entity_fb8d4fbdec955bbb,reported,reported,ginsenoside Ra9,,ginsenoside,,C57H94O23,1146.61858927973,negative,[M-H]-,1145.6108,,,reported,,chunk_7aabccc130b0b1b8a1af,candidate,Structured compound record mined from local corpus text.
cmp_849ddc9ee5273e,entity_849ddc9ee5273ec4,reported,reported,malonyl-ginsenosi,,ginsenoside,,C57H94O26,1194.60333313844,negative,[M-H]-,1193.5955,,,reported,,chunk_25b4d865a62ac2384a4b,candidate,Structured compound record mined from local corpus text.
cmp_cb9d1a2253124a,entity_cb9d1a2253124a03,reported,reported,malonyl-notogins,,ginsenoside,,C62H102O30,1326.64559187456,negative,[M-H]-,1325.6378,,,reported,,chunk_25b4d865a62ac2384a4b,candidate,Structured compound record mined from local corpus text.
cmp_7c47ce9e59580d,entity_7c47ce9e59580d9b,reported,reported,notoginsenoside,,ginsenoside,,C59H100O27,1240.64519795139,negative,[M-H]-,1239.6374,,,reported,,chunk_99161a2c5f65290f6be9,candidate,Structured compound record mined from local corpus text.
cmp_f56bb412834604,entity_f56bb41283460496,reported,reported,ginsenoside Rs1,,ginsenoside,,C55H92O23,1120.60293921527,negative,[M-H]-,1119.5951,,,reported,,chunk_99161a2c5f65290f6be9,candidate,Structured compound record mined from local corpus text.
cmp_65badd991c896f,entity_65badd991c896f99,reported,reported,ginsenoside Rs2,,ginsenoside,,C55H92O23,1120.60293921527,negative,[M-H]-,1119.5951,1077.5853;945.5424;783.4914;621.4385;459.3856,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_175cdc5fd983d2b95ed5,candidate,Structured compound record mined from local corpus text.
cmp_e936a9ddb823d0,entity_e936a9ddb823d0a8,reported,reported,gypenoside ⅩⅦ,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.5423,,,reported,,chunk_1c1e6578ab8c9a02d5a4,candidate,Structured compound record mined from local corpus text.
cmp_47dbc528370f3c,entity_47dbc528370f3c1f,reported,reported,pseudoginsenosid,,ginsenoside,,C50H84O19,988.5606804791499,negative,[M-H]-,987.5529,,,reported,,chunk_1c1e6578ab8c9a02d5a4,candidate,Structured compound record mined from local corpus text.
cmp_e6fc8f55fdc2bb,entity_e6fc8f55fdc2bbc6,reported,reported,Vina-ginsenoside,,ginsenoside,,C47H80O17,916.5395511110901,negative,[M-H]-,915.5317,783.4955;621.4334;459.3295,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_f62d97f2af1b5c010597,candidate,Structured compound record mined from local corpus text.
cmp_ad12e53dcb4536,entity_ad12e53dcb453643,reported,reported,koryoginsenoside,,ginsenoside,,C54H92O24,1124.59785383484,negative,[M-H]-,1123.59,961.5287;799.4835;637.4333;475.382;961.5392;799.486,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_b749afe70ce7884623d1;chunk_90148ca57831ca732d59;claim_struct_d54e1efeb3720bae;chunk_b0a49b3ff1287efa7f58,candidate,Structured compound record mined from local corpus text.
cmp_2ec6b6cd03228d,entity_2ec6b6cd03228d6e,reported,reported,ginsenoside Re1,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5372,799.4863;637.4342;475.3794,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_51c27bdc1cfcb8cc92a8,candidate,Structured compound record mined from local corpus text.
cmp_2af02e68b59fb4,entity_2af02e68b59fb4dc,reported,reported,ginsenoside Re2,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5372,799.4866,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_8b0d4fd16f7534c1e694,candidate,Structured compound record mined from local corpus text.
cmp_6853db04e14ae8,entity_6853db04e14ae862,reported,reported,ginsenoside Re3,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5372,799.4865;637.4351;475.3785,,reported,,chunk_1c1e6578ab8c9a02d5a4;chunk_b8b8247081a5df6d2fce,candidate,Structured compound record mined from local corpus text.
cmp_6a4dd182e0ce47,entity_6a4dd182e0ce4718,reported,reported,ginsenoside Re4,,ginsenoside,,C47H80O18,932.53446573066,negative,[M-H]-,931.5266,799.487;637.4311;475.3805,,reported,,chunk_cede274bcb6c91cff19e;chunk_c1077fde30e2da8f2a3b,candidate,Structured compound record mined from local corpus text.
cmp_52e69b9be833c3,entity_52e69b9be833c34b,reported,reported,ginsenoside Re6,,ginsenoside,,C46H76O15,868.51842174303,negative,[M-H]-,867.5106,,,reported,,chunk_cede274bcb6c91cff19e,candidate,Structured compound record mined from local corpus text.
cmp_e664126c0e257d,entity_e664126c0e257d7d,reported,reported,20-(R)-ginsenoside,,ginsenoside,,C42H72O13,784.49729237497,negative,[M-H]-,783.4895,,,reported,,chunk_15955d34e68303239283,candidate,Structured compound record mined from local corpus text.
cmp_9427c164145f63,entity_9427c164145f6329,reported,reported,20-gluco-ginsenoside,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5372,,,reported,,chunk_15955d34e68303239283,candidate,Structured compound record mined from local corpus text.
cmp_62384753ece538,entity_62384753ece5380a,reported,reported,ginsenoside Rh1,,ginsenoside,,C36H62O9,638.43938357439,negative,[M-H]-,637.4316,,,reported,,chunk_15955d34e68303239283,candidate,Structured compound record mined from local corpus text.
cmp_9a56f24d40f603,entity_9a56f24d40f60377,reported,reported,notoginsenoside R2,,ginsenoside,,C41H70O13,770.48164231051,negative,[M-H]-,769.4738,637.4324;475.3792,,reported,,chunk_15955d34e68303239283;chunk_b8adff2c9f351bd037b9;claim_struct_c7ae7c593f304561;chunk_1ad80e1d040fd2050c34,candidate,Structured compound record mined from local corpus text.
cmp_b506080fbc6bd6,entity_b506080fbc6bd6ae,reported,reported,koryoginsenoside R1,,ginsenoside,,C46H76O15,868.51842174303,negative,[M-H]-,867.5106,,,reported,,chunk_15955d34e68303239283,candidate,Structured compound record mined from local corpus text.
cmp_2cff75a5b58968,entity_2cff75a5b5896862,reported,reported,notoginsenoside N,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5372,799.4821;637.4316;475.382,,reported,,chunk_15955d34e68303239283;chunk_715fa770ee9e23e800b1,candidate,Structured compound record mined from local corpus text.
cmp_f4ede85d52949b,entity_f4ede85d52949b36,reported,reported,ginsenoside Re5,,ginsenoside,,C42H72O15,816.48712161411,negative,[M-H]-,815.4793,653.4321;653.423;653.4203;653.4243;491.3737;653.4332,,reported,,chunk_48ab71a520d8f796381f;chunk_c1a474386fbcd10f5656;claim_struct_ed2f374ca4c171c9;chunk_a4155b8722f56af61f12;claim_struct_364e54b0c2e0078a;claim_struct_fc2bc7c72e5b66e3;chunk_d1c689472a06085ce17c;claim_struct_4b47774f4ecd11ec,candidate,Structured compound record mined from local corpus text.
cmp_baae10626edc34,entity_baae10626edc3407,reported,reported,ginsenjilinol,,ginsenoside,,C42H72O15,816.48712161411,negative,[M-H]-,815.4793,653.4303;491.3732,,reported,,chunk_48ab71a520d8f796381f;chunk_62763fcbed0ade364055,candidate,Structured compound record mined from local corpus text.
cmp_fd8eba1c1f3a0b,entity_fd8eba1c1f3a0bf4,reported,reported,polyacetyleneginse,,ginsenoside,,C65H100O21,1216.67571023397,negative,[M-H]-,1215.6679,,,reported,,chunk_1281439c3ddd505382ae,candidate,Structured compound record mined from local corpus text.
cmp_bc1defdbdb15d2,entity_bc1defdbdb15d23d,reported,reported,Oxidated+hydrated protopanaxatriol+2,,ginsenoside,,C48H84O20,980.55559509872,negative,[M-H]-,979.5486,817.4918;799.4863;817.4996;799.4866,,reported,,chunk_05cd80d726df209742d4;chunk_fbd928d3aa8d261e9dea;claim_struct_503a4f9e10ddd7c7,candidate,Structured compound record mined from local corpus text.
cmp_443528f53e34c9,entity_443528f53e34c9a2,reported,reported,Ginsenoside Re5 isomer/Ginsenjilinol isomer,,ginsenoside,,C42H72O15,816.48712161411,negative,[M-H]-,861.4847,653.4335;491.3773;653.4305;491.3784;653.4324;491.3729;653.4277;491.3759;653.4119;491.3717;653.4325;491.3709;491.3724;653.4249;491.375;653.4233;653.4265;491.3747,,reported,,chunk_fbd928d3aa8d261e9dea;chunk_558f277475b24d9fc2fa;chunk_40161806d9346a35bb9b;chunk_cf0bac6ddb68865e7635;claim_struct_0877950e03781bcf;claim_struct_09dddbf8cb8e7270;chunk_4d4bb0ef118d03837386;claim_struct_b451f27ef22dead5;chunk_396c9b6b19717859101f;claim_struct_f6692a86f906def0;chunk_6cd6e15ed0f6d787210a;chunk_54af3f448b1464d459b9;claim_struct_edc12ef25c629405;chunk_009ab754e9d277eb12be;claim_struct_1c464e1eecba5c96;chunk_fd6d2907fdfc8080b57a;claim_struct_ebdac43e044d243c,candidate,Structured compound record mined from local corpus text.
cmp_89e3a0329fb7f1,entity_89e3a0329fb7f123,reported,reported,Oxidated-protopan,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,1023.5377,799.4803,,reported,,chunk_c6453aa8bd4c6ba90fc5;chunk_558f277475b24d9fc2fa,candidate,Structured compound record mined from local corpus text.
cmp_ae807d31818cf1,entity_ae807d31818cf16c,reported,reported,Double bond hydrated-protopana,,ginsenoside,,C42H74O15,818.50277167857,negative,[M-H]-,863.5,655.4158;493.3926;655.4399,,reported,,chunk_c6453aa8bd4c6ba90fc5;chunk_8281cfafbfbe15063f30,candidate,Structured compound record mined from local corpus text.
cmp_917f002d97355f,entity_917f002d97355ffc,reported,reported,Oxidated-protopan axatriol+2Glc+Rha,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5387,799.4922;781.4753;635.4191;491.3735;781.4695;635.4142;491.3722,,reported,,chunk_558f277475b24d9fc2fa;chunk_631615057193b28c35a3;claim_struct_de81b51042b910f6,candidate,Structured compound record mined from local corpus text.
cmp_ee10b1f0796230,entity_ee10b1f079623048,reported,reported,Methyl,,ginsenoside,,C42H70O15,814.47147154965,negative,[M-H]-,859.4696,651.4141,,reported,,chunk_c1a474386fbcd10f5656,candidate,Structured compound record mined from local corpus text.
cmp_d5744bd608bc57,entity_d5744bd608bc57e9,reported,reported,Dioxidated,,ginsenoside,,C42H72O16,832.48203623368,negative,[M-H]-,877.4809,,,reported,,chunk_e9e8e2619f396aa7c83c,candidate,Structured compound record mined from local corpus text.
cmp_65dff45618bd05,entity_65dff45618bd05e6,reported,reported,Methyl etherified-protopan axatriol+2Glc,,ginsenoside,,C42H70O15,814.47147154965,negative,[M-H]-,859.4695,651.4139;489.3561;651.4103;489.3588;651.454;489.3578;489.3678;651.4153;489.3582,,reported,,chunk_e9e8e2619f396aa7c83c;chunk_d637bf42580ae5cb9761;claim_struct_efa0dd4ce67c9595;chunk_510e8f3a309912930d90;claim_struct_d378c9f88f3c6ea0;chunk_43240e98b2f132bb1d7e;claim_struct_c541445a8a2b7e46;chunk_d840e02ff32e974e2943;claim_struct_0e6956e9215a26cf,candidate,Structured compound record mined from local corpus text.
cmp_6be08de187d2bf,entity_6be08de187d2bffb,reported,reported,Oxidated+hydrated,,ginsenoside,,C42H74O15,818.50277167857,negative,[M-H]-,863.5018,,,reported,,chunk_40161806d9346a35bb9b,candidate,Structured compound record mined from local corpus text.
cmp_d9c275e7d44233,entity_d9c275e7d44233ca,reported,reported,Floralginsenoside,,ginsenoside,,C53H90O23,1094.58728915081,negative,[M-H]-,1093.5796,961.5309;799.4976;799.4872;799.4849;799.4889;799.4887;799.4835;799.4787;945.5451;945.5461;945.5437,,reported,,chunk_a4155b8722f56af61f12;chunk_d1c689472a06085ce17c;claim_struct_56d3e67f060b7cb2;chunk_9c6794a22aaa3330ed7c;claim_struct_f319a7a417e31ed9;chunk_2628587dd5ae8e4c0654;chunk_c8b2327b32b8e77f84aa;claim_struct_4d4d2beed9485400;chunk_cfb39ba3355e1c430b34;claim_struct_ebf17da4a23caf90;chunk_6cd6e15ed0f6d787210a;claim_struct_c13a5a243b2b40c5;chunk_009ab754e9d277eb12be;claim_struct_95cff872892a1bf0;chunk_c1077fde30e2da8f2a3b;chunk_b6c97d33f4173f2f6c15;claim_struct_b21b426a36210215;chunk_75cc07695c4c90b4e366;claim_struct_14926d014a0e0e48,candidate,Structured compound record mined from local corpus text.
cmp_f5db0951f750f9,entity_f5db0951f750f9d8,reported,reported,Oxidated-protopan axatriol+Ara/Xyl+R ha+Glc,,ginsenoside,,C47H80O18,932.53446573066,negative,[M-H]-,931.5269,491.3748;653.4296;491.3808,,reported,,chunk_52cf672db56806aea90b;claim_struct_52c86a5b7183ddbb,candidate,Structured compound record mined from local corpus text.
cmp_a59f89cdb60fc2,entity_a59f89cdb60fc2b7,reported,reported,Protopanaxatriol+3,,ginsenoside,,C54H92O23,1108.60293921527,negative,[M-H]-,1107.5944,945.54;945.5454;945.5414;945.5482;945.5467;945.5471;1093.5801;1093.5773;1093.5796;1093.5677,,reported,,chunk_52cf672db56806aea90b;chunk_b8b8247081a5df6d2fce;claim_struct_8ac39485c3310786;chunk_51c27bdc1cfcb8cc92a8;claim_struct_05a781ccf3b1c7d5;chunk_510e8f3a309912930d90;claim_struct_404b2dc0cfd338af;chunk_75cc07695c4c90b4e366;claim_struct_a7879ff884bce8e6;chunk_b749afe70ce7884623d1;claim_struct_6e374e1b78ccf529;chunk_ccffdfc75154a4c39823;chunk_53281f87a53e0c66fb6e;claim_struct_0436b68f9962f93e;chunk_6677191325948a74c58a;claim_struct_8f938a362ea4618b;chunk_4a9abb94fd4cfa774c19;claim_struct_10c2a75eeaf4199a,candidate,Structured compound record mined from local corpus text.
cmp_51d9da91477c6d,entity_51d9da91477c6d7b,reported,reported,Protopanaxatriol+2,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,1209.624,1077.5824;1077.582;621.4367;783.4864;783.4846;621.4323,,reported,,chunk_b8b8247081a5df6d2fce;chunk_331449f50dc7e60d69f2;claim_struct_fe6658b28df95616;chunk_4c9bb249b2cebe917e64;chunk_a962891d57892bcb4884;chunk_77bea7f5c6bbef5c402a;claim_struct_0d2c41d51516b9c2,candidate,Structured compound record mined from local corpus text.
cmp_dc6d2c6cdf6065,entity_dc6d2c6cdf60655f,reported,reported,Oxidated-protopan axatriol+3Glc,,ginsenoside,,C48H82O20,978.53994503426,negative,[M-H]-,1023.5371,815.4866;797.4678;653.4309;635.4155;491.3808,,reported,,chunk_42a0d9dc1b46b8a70d9e,candidate,Structured compound record mined from local corpus text.
cmp_314921f8b03d2c,entity_314921f8b03d2c72,reported,reported,Oxidated-protopan axatriol+Glc+Malon yl Glc,,ginsenoside,,C45H74O18,902.48751553728,negative,[M-H]-,901.4805,815.4798;653.4215;491.3746,,reported,,chunk_42a0d9dc1b46b8a70d9e,candidate,Structured compound record mined from local corpus text.
cmp_d7133f0206395e,entity_d7133f0206395ed6,reported,reported,Malonyl-ginsenosid,,ginsenoside,,C51H84O21,1032.55050971829,negative,[M-H]-,1047.5388,961.5326;799.4797;945.5322;945.5437;945.5433;945.5459;1209.62268;1209.6318;1077.5848;1077.5858;945.5435;1077.5853;945.5468;1077.5852;945.5432;1077.5864;945.5447;1107.5895,,reported,,chunk_d637bf42580ae5cb9761;chunk_37e5c43899f783af90f9;chunk_b8b9a5fae780b9d8b381;claim_struct_5de68e3d0cdd7545;chunk_9fd23e120284663f1c75;claim_struct_6e2f136a5d5af41e;chunk_bfa15bc39fdc8146ca2c;claim_struct_5b9a432729dd74a4;chunk_96a185d4d170ce54706a;chunk_37538bfe77cc21ac24e8;claim_struct_c4d908f5c4067bc5;chunk_3dec00069bfcf8b7e161;chunk_b5fe090dd395e229803f;claim_struct_d8be04e6a8a70f29;chunk_2260222ec38f7ddb65a3;claim_struct_3f65e73215b8149e;chunk_05215cba2cc20e88196f;claim_struct_f233500fa4ae5e46;chunk_1f945a4e6c57f6a91530,candidate,Structured compound record mined from local corpus text.
cmp_ee685836be12c1,entity_ee685836be12c16e,reported,reported,Oxidated-protopan axatriol+Glc+Rha,,ginsenoside,,C42H72O14,800.49220699454,negative,[M-H]-,799.4855,653.4247;491.3707;653.4296;635.4138;491.3751;653.4266;491.3747;637.4328;637.4229;491.3701,,reported,,chunk_c1077fde30e2da8f2a3b;chunk_2a111a871f7ba342e31b;claim_struct_47831d74e0745792;chunk_9b548286d6dd6193a260;claim_struct_225cee686ae406c7;chunk_459735b7e268c2585f6a;chunk_854dc94d845782282241;claim_struct_498bda6e124b6e3c,candidate,Structured compound record mined from local corpus text.
cmp_5447cf75ba9ef3,entity_5447cf75ba9ef3ed,reported,reported,Ginsenoside Rf2,,ginsenoside,,C42H74O14,802.507857059,negative,[M-H]-,847.5063,655.4425;493.3891,,reported,,chunk_c1077fde30e2da8f2a3b,candidate,Structured compound record mined from local corpus text.
cmp_a27d067bb081f7,entity_a27d067bb081f725,reported,reported,Double bond hydrated-protopana xatriol+2Glc,,ginsenoside,,C42H74O15,818.50277167857,negative,[M-H]-,863.4995,655.4329;493.3911,,reported,,chunk_2a111a871f7ba342e31b,candidate,Structured compound record mined from local corpus text.
cmp_08c26702f07914,entity_08c26702f07914da,reported,reported,Dehydrogenated-pr otopanaxatriol+4Glc,,ginsenoside,,C50H90O27,1122.56694762909,negative,[M-H]-,1299.6212,1121.5668;959.5083;959.5172;797.469;635.4152;473.3636;959.5171;797.468;779.4545;635.4135;617.4081,,reported,,chunk_2a111a871f7ba342e31b;chunk_b749afe70ce7884623d1;chunk_9f70c849b6160869bf4c;claim_struct_a0d42941149faaa1,candidate,Structured compound record mined from local corpus text.
cmp_cac1b3640c78d1,entity_cac1b3640c78d11c,reported,reported,20-Gluco-ginsenosi de Rf,,ginsenoside,,C48H82O19,962.54503041469,negative,[M-H]-,961.5369,799.4857;637.4313;475.3779,,reported,,chunk_4d4bb0ef118d03837386,candidate,Structured compound record mined from local corpus text.
cmp_3ca93aab320b61,entity_3ca93aab320b61d8,reported,reported,Acetyl ginsenoside,,ginsenoside,,C50H84O20,1004.55559509872,negative,[M-H]-,1003.5487,961.5366;961.5382;961.5333;961.5358;955.4882;955.4804,,reported,,chunk_188e635f0b7593e321dd;chunk_8cdca72f5667564738c1;claim_struct_cd353f0b224225bb;chunk_13fbe66f13876cc2e9c1;claim_struct_77c12b405bb3ca92;chunk_8928147b2d1e400d0545;claim_struct_d9d28e66b6bd9c1d;chunk_2f6f8a757f20e58b3e80;chunk_1e0fe7dfbd0154011493;claim_struct_e9116686f95ffa43,candidate,Structured compound record mined from local corpus text.
cmp_239a9af2ce5db7,entity_239a9af2ce5db79c,reported,reported,Ginsenoside Rf2 isomer,,ginsenoside,,C42H74O14,802.507857059,negative,[M-H]-,847.506,655.434;493.3745,,reported,,chunk_51c27bdc1cfcb8cc92a8,candidate,Structured compound record mined from local corpus text.
cmp_c49a38d3daea8f,entity_c49a38d3daea8f66,reported,reported,Double bond hydrated-protopana xatriol+4Glc,,ginsenoside,,C54H94O25,1142.60841851887,negative,[M-H]-,1141.5999,979.5508;817.498;799.4844;655.4418,,reported,,chunk_b6c97d33f4173f2f6c15,candidate,Structured compound record mined from local corpus text.
cmp_523d29e7fb0d53,entity_523d29e7fb0d53f4,reported,reported,Oxidated-protopan axatriol+Glc,,ginsenoside,,C36H62O10,654.43429819396,negative,[M-H]-,699.4317,491.3727,,reported,,chunk_8b0d4fd16f7534c1e694,candidate,Structured compound record mined from local corpus text.
cmp_df92473a3cde64,entity_df92473a3cde64b5,reported,reported,Double bond hydrated-protopana xatriol+3Glc+Xyl/Ar,,ginsenoside,,C53H92O24,1112.59785383484,negative,[M-H]-,1111.5915,979.5418;817.4936;799.4843;655.4416;979.5455;817.4952;799.4852;655.4422,,reported,,chunk_8b0d4fd16f7534c1e694;chunk_2ee26889a566d55b31ef;claim_struct_0406f02e4620f67e,candidate,Structured compound record mined from local corpus text.
cmp_6269703554bf5c,entity_6269703554bf5c1b,reported,reported,(E)-But-2-enoyl-gins enoside,,ginsenoside,,C63H104O28,1308.67141269988,negative,[M-H]-,1045.5572,931.5161;961.5285;799.4877;1239.6508;1107.5946,,reported,,chunk_e2c3171bcb0dac6da595;chunk_459735b7e268c2585f6a;chunk_39aa8ef15f5949ead0c3,candidate,Structured compound record mined from local corpus text.
cmp_4cc5bb5a7c7bb5,entity_4cc5bb5a7c7bb599,reported,reported,Ginsenoside Re5 isomer/Ginsenjilinol,,ginsenoside,,C42H72O15,816.48712161411,negative,[M-H]-,815.4794,653.4219,,reported,,chunk_3d27563a435c41911294,candidate,Structured compound record mined from local corpus text.
cmp_fd255c4a2c3608,entity_fd255c4a2c36085c,reported,reported,Malonyl-20-Gluco-g insenoside Rf,,ginsenoside,,C51H84O22,1048.54542433786,negative,[M-H]-,1047.5377,961.5388;799.4798;637.4352;475.3803,,reported,,chunk_43240e98b2f132bb1d7e,candidate,Structured compound record mined from local corpus text.
cmp_7197ece9078516,entity_7197ece907851687,reported,reported,Double bond,,ginsenoside,,C42H74O15,818.50277167857,negative,[M-H]-,863.499,979.5484,,reported,,chunk_43240e98b2f132bb1d7e;chunk_9f70c849b6160869bf4c;claim_struct_bf8aba7b70d071db;chunk_71a02ea07eb25f34f97d,candidate,Structured compound record mined from local corpus text.
